unicode.text,unicode.href,discrption,,,
U+26FD,http://apps.timwhitlock.info/unicode/inspect/hex/26FD,FUEL PUMP,fuel,pump,pumped
U+2934,http://apps.timwhitlock.info/unicode/inspect/hex/2934,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,,,
U+2935,http://apps.timwhitlock.info/unicode/inspect/hex/2935,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,,,
U+2B05,http://apps.timwhitlock.info/unicode/inspect/hex/2B05,LEFTWARDS BLACK ARROW,,,
U+2B06,http://apps.timwhitlock.info/unicode/inspect/hex/2B06,UPWARDS BLACK ARROW,,,
U+2B07,http://apps.timwhitlock.info/unicode/inspect/hex/2B07,DOWNWARDS BLACK ARROW,,,
U+2B1B,http://apps.timwhitlock.info/unicode/inspect/hex/2B1B,BLACK LARGE SQUARE,,,
U+2B1C,http://apps.timwhitlock.info/unicode/inspect/hex/2B1C,WHITE LARGE SQUARE,,,
U+2B50,http://apps.timwhitlock.info/unicode/inspect/hex/2B50,WHITE MEDIUM STAR,,,
U+2B55,http://apps.timwhitlock.info/unicode/inspect/hex/2B55,HEAVY LARGE CIRCLE,,,
U+3030,http://apps.timwhitlock.info/unicode/inspect/hex/3030,WAVY DASH,,,
U+303D,http://apps.timwhitlock.info/unicode/inspect/hex/303D,PART ALTERNATION MARK,,,
U+3297,http://apps.timwhitlock.info/unicode/inspect/hex/3297,CIRCLED IDEOGRAPH CONGRATULATION,,,
U+3299,http://apps.timwhitlock.info/unicode/inspect/hex/3299,CIRCLED IDEOGRAPH SECRET,,,
U+1F004,http://apps.timwhitlock.info/unicode/inspect/hex/1F004,MAHJONG TILE RED DRAGON,,,
U+1F0CF,http://apps.timwhitlock.info/unicode/inspect/hex/1F0CF,PLAYING CARD BLACK JOKER,,,
U+1F300,http://apps.timwhitlock.info/unicode/inspect/hex/1F300,CYCLONE,,,
U+1F301,http://apps.timwhitlock.info/unicode/inspect/hex/1F301,FOGGY,,,
U+1F302,http://apps.timwhitlock.info/unicode/inspect/hex/1F302,CLOSED UMBRELLA,,,
U+1F303,http://apps.timwhitlock.info/unicode/inspect/hex/1F303,NIGHT WITH STARS,night,,
U+1F304,http://apps.timwhitlock.info/unicode/inspect/hex/1F304,SUNRISE OVER MOUNTAINS,,,
U+1F305,http://apps.timwhitlock.info/unicode/inspect/hex/1F305,SUNRISE,sunrise,,
U+1F306,http://apps.timwhitlock.info/unicode/inspect/hex/1F306,CITYSCAPE AT DUSK,city,,
U+1F307,http://apps.timwhitlock.info/unicode/inspect/hex/1F307,SUNSET OVER BUILDINGS,sunset,,
U+1F308,http://apps.timwhitlock.info/unicode/inspect/hex/1F308,RAINBOW,rainbow,,
U+1F309,http://apps.timwhitlock.info/unicode/inspect/hex/1F309,BRIDGE AT NIGHT,bridge,,
U+1F30A,http://apps.timwhitlock.info/unicode/inspect/hex/1F30A,WATER WAVE,wave,,
U+1F30B,http://apps.timwhitlock.info/unicode/inspect/hex/1F30B,VOLCANO,volcano,,
U+1F30C,http://apps.timwhitlock.info/unicode/inspect/hex/1F30C,MILKY WAY,,,
U+1F30F,http://apps.timwhitlock.info/unicode/inspect/hex/1F30F,EARTH GLOBE ASIA-AUSTRALIA,,,
U+1F311,http://apps.timwhitlock.info/unicode/inspect/hex/1F311,NEW MOON SYMBOL,,,
U+1F313,http://apps.timwhitlock.info/unicode/inspect/hex/1F313,FIRST QUARTER MOON SYMBOL,,,
U+1F314,http://apps.timwhitlock.info/unicode/inspect/hex/1F314,WAXING GIBBOUS MOON SYMBOL,,,
U+1F315,http://apps.timwhitlock.info/unicode/inspect/hex/1F315,FULL MOON SYMBOL,,,
U+1F319,http://apps.timwhitlock.info/unicode/inspect/hex/1F319,CRESCENT MOON,,,
U+1F31B,http://apps.timwhitlock.info/unicode/inspect/hex/1F31B,FIRST QUARTER MOON WITH FACE,,,
U+1F31F,http://apps.timwhitlock.info/unicode/inspect/hex/1F31F,GLOWING STAR,,,
U+1F320,http://apps.timwhitlock.info/unicode/inspect/hex/1F320,SHOOTING STAR,,,
U+1F330,http://apps.timwhitlock.info/unicode/inspect/hex/1F330,CHESTNUT,,,
U+1F331,http://apps.timwhitlock.info/unicode/inspect/hex/1F331,SEEDLING,,,
U+1F334,http://apps.timwhitlock.info/unicode/inspect/hex/1F334,PALM TREE,palm,,
U+1F335,http://apps.timwhitlock.info/unicode/inspect/hex/1F335,CACTUS,cactus,,
U+1F337,http://apps.timwhitlock.info/unicode/inspect/hex/1F337,TULIP,tulip,,
U+1F338,http://apps.timwhitlock.info/unicode/inspect/hex/1F338,CHERRY BLOSSOM,,,
U+1F339,http://apps.timwhitlock.info/unicode/inspect/hex/1F339,ROSE,rose,,
U+1F33A,http://apps.timwhitlock.info/unicode/inspect/hex/1F33A,HIBISCUS,,,
U+1F33B,http://apps.timwhitlock.info/unicode/inspect/hex/1F33B,SUNFLOWER,sunflower,flower,
U+1F33C,http://apps.timwhitlock.info/unicode/inspect/hex/1F33C,BLOSSOM,,,
U+1F33D,http://apps.timwhitlock.info/unicode/inspect/hex/1F33D,EAR OF MAIZE,maize,,
U+1F33E,http://apps.timwhitlock.info/unicode/inspect/hex/1F33E,EAR OF RICE,rice,,
U+1F33F,http://apps.timwhitlock.info/unicode/inspect/hex/1F33F,HERB,herb,,
U+1F340,http://apps.timwhitlock.info/unicode/inspect/hex/1F340,FOUR LEAF CLOVER,luck,clover,
U+1F341,http://apps.timwhitlock.info/unicode/inspect/hex/1F341,MAPLE LEAF,maple,,
U+1F342,http://apps.timwhitlock.info/unicode/inspect/hex/1F342,FALLEN LEAF,,,
U+1F343,http://apps.timwhitlock.info/unicode/inspect/hex/1F343,LEAF FLUTTERING IN WIND,,,
U+1F344,http://apps.timwhitlock.info/unicode/inspect/hex/1F344,MUSHROOM,MUSHROOM,,
U+1F345,http://apps.timwhitlock.info/unicode/inspect/hex/1F345,TOMATO,TOMATO,,
U+1F346,http://apps.timwhitlock.info/unicode/inspect/hex/1F346,AUBERGINE,AUBERGINE,,
U+1F347,http://apps.timwhitlock.info/unicode/inspect/hex/1F347,GRAPES,GRAPES,,
U+1F348,http://apps.timwhitlock.info/unicode/inspect/hex/1F348,MELON,MELON,,
U+1F349,http://apps.timwhitlock.info/unicode/inspect/hex/1F349,WATERMELON,WATERMELON,,
U+1F34A,http://apps.timwhitlock.info/unicode/inspect/hex/1F34A,TANGERINE,TANGERINE,,
U+1F34C,http://apps.timwhitlock.info/unicode/inspect/hex/1F34C,BANANA,BANANA,,
U+1F34D,http://apps.timwhitlock.info/unicode/inspect/hex/1F34D,PINEAPPLE,PINEAPPLE,,
U+1F34E,http://apps.timwhitlock.info/unicode/inspect/hex/1F34E,RED APPLE,,,
U+1F34F,http://apps.timwhitlock.info/unicode/inspect/hex/1F34F,GREEN APPLE,APPLE,,
U+1F351,http://apps.timwhitlock.info/unicode/inspect/hex/1F351,PEACH,PEACH,,
U+1F352,http://apps.timwhitlock.info/unicode/inspect/hex/1F352,CHERRIES,CHERRIES,,
U+1F353,http://apps.timwhitlock.info/unicode/inspect/hex/1F353,STRAWBERRY,STRAWBERRY,,
U+1F354,http://apps.timwhitlock.info/unicode/inspect/hex/1F354,HAMBURGER,HAMBURGER,,
U+1F355,http://apps.timwhitlock.info/unicode/inspect/hex/1F355,SLICE OF PIZZA,pizza,,
U+1F356,http://apps.timwhitlock.info/unicode/inspect/hex/1F356,MEAT ON BONE,meat,,
U+1F357,http://apps.timwhitlock.info/unicode/inspect/hex/1F357,POULTRY LEG,chicken,,
U+1F358,http://apps.timwhitlock.info/unicode/inspect/hex/1F358,RICE CRACKER,,,
U+1F359,http://apps.timwhitlock.info/unicode/inspect/hex/1F359,RICE BALL,,,
U+1F35A,http://apps.timwhitlock.info/unicode/inspect/hex/1F35A,COOKED RICE,rice,,
U+1F35B,http://apps.timwhitlock.info/unicode/inspect/hex/1F35B,CURRY AND RICE,curry,,
U+1F35C,http://apps.timwhitlock.info/unicode/inspect/hex/1F35C,STEAMING BOWL,food,,
U+1F35D,http://apps.timwhitlock.info/unicode/inspect/hex/1F35D,SPAGHETTI,spaghetti,,
U+1F35E,http://apps.timwhitlock.info/unicode/inspect/hex/1F35E,BREAD,bread,,
U+1F35F,http://apps.timwhitlock.info/unicode/inspect/hex/1F35F,FRENCH FRIES,chips,fries,
U+1F360,http://apps.timwhitlock.info/unicode/inspect/hex/1F360,ROASTED SWEET POTATO,,,
U+1F361,http://apps.timwhitlock.info/unicode/inspect/hex/1F361,DANGO,,,
U+1F362,http://apps.timwhitlock.info/unicode/inspect/hex/1F362,ODEN,,,
U+1F363,http://apps.timwhitlock.info/unicode/inspect/hex/1F363,SUSHI,sushi,,
U+1F364,http://apps.timwhitlock.info/unicode/inspect/hex/1F364,FRIED SHRIMP,shrimp,prawns,
U+1F365,http://apps.timwhitlock.info/unicode/inspect/hex/1F365,FISH CAKE WITH SWIRL DESIGN,,,
U+1F366,http://apps.timwhitlock.info/unicode/inspect/hex/1F366,SOFT ICE CREAM,,,
U+1F367,http://apps.timwhitlock.info/unicode/inspect/hex/1F367,SHAVED ICE,,,
U+1F368,http://apps.timwhitlock.info/unicode/inspect/hex/1F368,ICE CREAM,icecream,,
U+1F369,http://apps.timwhitlock.info/unicode/inspect/hex/1F369,DOUGHNUT,doughnut,,
U+1F36A,http://apps.timwhitlock.info/unicode/inspect/hex/1F36A,COOKIE,cookie,,
U+1F36B,http://apps.timwhitlock.info/unicode/inspect/hex/1F36B,CHOCOLATE BAR,chocolate,,
U+1F36C,http://apps.timwhitlock.info/unicode/inspect/hex/1F36C,CANDY,candy,,
U+1F36D,http://apps.timwhitlock.info/unicode/inspect/hex/1F36D,LOLLIPOP,lollipop,,
U+1F36E,http://apps.timwhitlock.info/unicode/inspect/hex/1F36E,CUSTARD,custard,,
U+1F36F,http://apps.timwhitlock.info/unicode/inspect/hex/1F36F,HONEY POT,honey,,
U+1F370,http://apps.timwhitlock.info/unicode/inspect/hex/1F370,SHORTCAKE,shortcake,,
U+1F371,http://apps.timwhitlock.info/unicode/inspect/hex/1F371,BENTO BOX,,,
U+1F372,http://apps.timwhitlock.info/unicode/inspect/hex/1F372,POT OF FOOD,,,
U+1F373,http://apps.timwhitlock.info/unicode/inspect/hex/1F373,COOKING,cooking,,
U+1F374,http://apps.timwhitlock.info/unicode/inspect/hex/1F374,FORK AND KNIFE,cutlery,,
U+1F375,http://apps.timwhitlock.info/unicode/inspect/hex/1F375,TEACUP WITHOUT HANDLE,,,
U+1F376,http://apps.timwhitlock.info/unicode/inspect/hex/1F376,SAKE BOTTLE AND CUP,,,
U+1F377,http://apps.timwhitlock.info/unicode/inspect/hex/1F377,WINE GLASS,wine,,
U+1F378,http://apps.timwhitlock.info/unicode/inspect/hex/1F378,COCKTAIL GLASS,cocktail,cocktails,
U+1F379,http://apps.timwhitlock.info/unicode/inspect/hex/1F379,TROPICAL DRINK,,,
U+1F37A,http://apps.timwhitlock.info/unicode/inspect/hex/1F37A,BEER MUG,beer,,
U+1F37B,http://apps.timwhitlock.info/unicode/inspect/hex/1F37B,CLINKING BEER MUGS,,,
U+1F380,http://apps.timwhitlock.info/unicode/inspect/hex/1F380,RIBBON,ribbon,,
U+1F381,http://apps.timwhitlock.info/unicode/inspect/hex/1F381,WRAPPED PRESENT,present,,
U+1F382,http://apps.timwhitlock.info/unicode/inspect/hex/1F382,BIRTHDAY CAKE,cake,birthday,
U+1F383,http://apps.timwhitlock.info/unicode/inspect/hex/1F383,JACK-O-LANTERN,haloween,,
U+1F384,http://apps.timwhitlock.info/unicode/inspect/hex/1F384,CHRISTMAS TREE,christmas,,
U+1F385,http://apps.timwhitlock.info/unicode/inspect/hex/1F385,FATHER CHRISTMAS,,,
U+1F386,http://apps.timwhitlock.info/unicode/inspect/hex/1F386,FIREWORKS,fireworks,,
U+1F387,http://apps.timwhitlock.info/unicode/inspect/hex/1F387,FIREWORK SPARKLER,sparkler,,
U+1F388,http://apps.timwhitlock.info/unicode/inspect/hex/1F388,BALLOON,balloon,,
U+1F389,http://apps.timwhitlock.info/unicode/inspect/hex/1F389,PARTY POPPER,party,,
U+1F38A,http://apps.timwhitlock.info/unicode/inspect/hex/1F38A,CONFETTI BALL,confetti,,
U+1F38B,http://apps.timwhitlock.info/unicode/inspect/hex/1F38B,TANABATA TREE,tanabata,,
U+1F38C,http://apps.timwhitlock.info/unicode/inspect/hex/1F38C,CROSSED FLAGS,,,
U+1F38D,http://apps.timwhitlock.info/unicode/inspect/hex/1F38D,PINE DECORATION,pine,,
U+1F38E,http://apps.timwhitlock.info/unicode/inspect/hex/1F38E,JAPANESE DOLLS,japanese,,
U+1F38F,http://apps.timwhitlock.info/unicode/inspect/hex/1F38F,CARP STREAMER,carp,,
U+1F390,http://apps.timwhitlock.info/unicode/inspect/hex/1F390,WIND CHIME,,,
U+1F391,http://apps.timwhitlock.info/unicode/inspect/hex/1F391,MOON VIEWING CEREMONY,,,
U+1F392,http://apps.timwhitlock.info/unicode/inspect/hex/1F392,SCHOOL SATCHEL,school,satchel,
U+1F393,http://apps.timwhitlock.info/unicode/inspect/hex/1F393,GRADUATION CAP,graduation,,
U+1F3A0,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A0,CAROUSEL HORSE,carousel,,
U+1F3A1,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A1,FERRIS WHEEL,ferris,,
U+1F3A2,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A2,ROLLER COASTER,,,
U+1F3A3,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A3,FISHING POLE AND FISH,fishing,,
U+1F3A4,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A4,MICROPHONE,microphone,,
U+1F3A5,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A5,MOVIE CAMERA,movie,,
U+1F3A6,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A6,CINEMA,cinema,,
U+1F3A7,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A7,HEADPHONE,headphone,,
U+1F3A8,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A8,ARTIST PALETTE,artist,,
U+1F3A9,http://apps.timwhitlock.info/unicode/inspect/hex/1F3A9,TOP HAT,hat,,
U+1F3AA,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AA,CIRCUS TENT,circus,,
U+1F3AB,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AB,TICKET,ticket,,
U+1F3AC,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AC,CLAPPER BOARD,clapper,,
U+1F3AD,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AD,PERFORMING ARTS,performing,,
U+1F3AE,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AE,VIDEO GAME,video,,
U+1F3AF,http://apps.timwhitlock.info/unicode/inspect/hex/1F3AF,DIRECT HIT,,,
U+1F3B0,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B0,SLOT MACHINE,slot,slots,
U+1F3B1,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B1,BILLIARDS,billiards,,
U+1F3B2,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B2,GAME DIE,game,,
U+1F3B3,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B3,BOWLING,bowling,,
U+1F3B4,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B4,FLOWER PLAYING CARDS,,,
U+1F3B5,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B5,MUSICAL NOTE,musical,music,
U+1F3B6,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B6,MULTIPLE MUSICAL NOTES,,,
U+1F3B7,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B7,SAXOPHONE,saxophone,,
U+1F3B8,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B8,GUITAR,guitar,,
U+1F3B9,http://apps.timwhitlock.info/unicode/inspect/hex/1F3B9,MUSICAL KEYBOARD,keyboard,,
U+1F3BA,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BA,TRUMPET,trumpet,,
U+1F3BB,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BB,VIOLIN,violin,,
U+1F3BC,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BC,MUSICAL SCORE,,,
U+1F3BD,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BD,RUNNING SHIRT WITH SASH,,,
U+1F3BE,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BE,TENNIS RACQUET AND BALL,tennis,,
U+1F3BF,http://apps.timwhitlock.info/unicode/inspect/hex/1F3BF,SKI AND SKI BOOT,ski,,
U+1F3C0,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C0,BASKETBALL AND HOOP,,,
U+1F3C1,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C1,CHEQUERED FLAG,chequered,,
U+1F3C2,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C2,SNOWBOARDER,snowboarder,,
U+1F3C3,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C3,RUNNER,runner,,
U+1F3C4,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C4,SURFER,surfer,,
U+1F3C6,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C6,TROPHY,trophy,,
U+1F3C8,http://apps.timwhitlock.info/unicode/inspect/hex/1F3C8,AMERICAN FOOTBALL,,,
U+1F3CA,http://apps.timwhitlock.info/unicode/inspect/hex/1F3CA,SWIMMER,swimmer,,
U+1F3E0,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E0,HOUSE BUILDING,building,,
U+1F3E1,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E1,HOUSE WITH GARDEN,gardern,,
U+1F3E2,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E2,OFFICE BUILDING,office,,
U+1F3E3,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E3,JAPANESE POST OFFICE,,,
U+1F3E5,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E5,HOSPITAL,hospital,,
U+1F3E6,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E6,BANK,bank,,
U+1F3E7,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E7,AUTOMATED TELLER MACHINE,,,
U+1F3E8,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E8,HOTEL,,,
U+1F3E9,http://apps.timwhitlock.info/unicode/inspect/hex/1F3E9,LOVE HOTEL,,,
U+1F3EA,http://apps.timwhitlock.info/unicode/inspect/hex/1F3EA,CONVENIENCE STORE,store,shop,
U+1F3EB,http://apps.timwhitlock.info/unicode/inspect/hex/1F3EB,SCHOOL,,,
U+1F3EC,http://apps.timwhitlock.info/unicode/inspect/hex/1F3EC,DEPARTMENT STORE,,,
U+1F3ED,http://apps.timwhitlock.info/unicode/inspect/hex/1F3ED,FACTORY,factory,,
U+1F3EE,http://apps.timwhitlock.info/unicode/inspect/hex/1F3EE,IZAKAYA LANTERN,,,
U+1F3EF,http://apps.timwhitlock.info/unicode/inspect/hex/1F3EF,JAPANESE CASTLE,,,
U+1F3F0,http://apps.timwhitlock.info/unicode/inspect/hex/1F3F0,EUROPEAN CASTLE,castle,,
U+1F40C,http://apps.timwhitlock.info/unicode/inspect/hex/1F40C,SNAIL,snail,,
U+1F40D,http://apps.timwhitlock.info/unicode/inspect/hex/1F40D,SNAKE,snake,,
U+1F40E,http://apps.timwhitlock.info/unicode/inspect/hex/1F40E,HORSE,horse,,
U+1F411,http://apps.timwhitlock.info/unicode/inspect/hex/1F411,SHEEP,sheep,,
U+1F412,http://apps.timwhitlock.info/unicode/inspect/hex/1F412,MONKEY,monkey,,
U+1F414,http://apps.timwhitlock.info/unicode/inspect/hex/1F414,CHICKEN,chicken,,
U+1F417,http://apps.timwhitlock.info/unicode/inspect/hex/1F417,BOAR,boar,,
U+1F418,http://apps.timwhitlock.info/unicode/inspect/hex/1F418,ELEPHANT,elephant,,
U+1F419,http://apps.timwhitlock.info/unicode/inspect/hex/1F419,OCTOPUS,octopus,,
U+1F41A,http://apps.timwhitlock.info/unicode/inspect/hex/1F41A,SPIRAL SHELL,shell,,
U+1F41B,http://apps.timwhitlock.info/unicode/inspect/hex/1F41B,BUG,bug,,
U+1F41C,http://apps.timwhitlock.info/unicode/inspect/hex/1F41C,ANT,ant,,
U+1F41D,http://apps.timwhitlock.info/unicode/inspect/hex/1F41D,HONEYBEE,honeybee,,
U+1F41E,http://apps.timwhitlock.info/unicode/inspect/hex/1F41E,LADY BEETLE,ladybug,,
U+1F41F,http://apps.timwhitlock.info/unicode/inspect/hex/1F41F,FISH,fish,,
U+1F420,http://apps.timwhitlock.info/unicode/inspect/hex/1F420,TROPICAL FISH,,,
U+1F421,http://apps.timwhitlock.info/unicode/inspect/hex/1F421,BLOWFISH,blowfish,,
U+1F422,http://apps.timwhitlock.info/unicode/inspect/hex/1F422,TURTLE,turtle,,
U+1F423,http://apps.timwhitlock.info/unicode/inspect/hex/1F423,HATCHING CHICK,hatch,born,
U+1F424,http://apps.timwhitlock.info/unicode/inspect/hex/1F424,BABY CHICK,chick,,
U+1F425,http://apps.timwhitlock.info/unicode/inspect/hex/1F425,FRONT-FACING BABY CHICK,,,
U+1F426,http://apps.timwhitlock.info/unicode/inspect/hex/1F426,BIRD,bird,,
U+1F427,http://apps.timwhitlock.info/unicode/inspect/hex/1F427,PENGUIN,penguin,,
U+1F428,http://apps.timwhitlock.info/unicode/inspect/hex/1F428,KOALA,koala,,
U+1F429,http://apps.timwhitlock.info/unicode/inspect/hex/1F429,POODLE,poodle,,
U+1F42B,http://apps.timwhitlock.info/unicode/inspect/hex/1F42B,BACTRIAN CAMEL,camel,,
U+1F42C,http://apps.timwhitlock.info/unicode/inspect/hex/1F42C,DOLPHIN,dolphin,,
U+1F42D,http://apps.timwhitlock.info/unicode/inspect/hex/1F42D,MOUSE FACE,mouse,,
U+1F42E,http://apps.timwhitlock.info/unicode/inspect/hex/1F42E,COW FACE,cow,,
U+1F42F,http://apps.timwhitlock.info/unicode/inspect/hex/1F42F,TIGER FACE,tiger,,
U+1F430,http://apps.timwhitlock.info/unicode/inspect/hex/1F430,RABBIT FACE,rabbit,,
U+1F431,http://apps.timwhitlock.info/unicode/inspect/hex/1F431,CAT FACE,,,
U+1F432,http://apps.timwhitlock.info/unicode/inspect/hex/1F432,DRAGON FACE,dragon,,
U+1F433,http://apps.timwhitlock.info/unicode/inspect/hex/1F433,SPOUTING WHALE,whale,,
U+1F434,http://apps.timwhitlock.info/unicode/inspect/hex/1F434,HORSE FACE,horse,,
U+1F435,http://apps.timwhitlock.info/unicode/inspect/hex/1F435,MONKEY FACE,monkey,,
U+1F436,http://apps.timwhitlock.info/unicode/inspect/hex/1F436,DOG FACE,dog,,
U+1F437,http://apps.timwhitlock.info/unicode/inspect/hex/1F437,PIG FACE,pig,,
U+1F438,http://apps.timwhitlock.info/unicode/inspect/hex/1F438,FROG FACE,frog,,
U+1F439,http://apps.timwhitlock.info/unicode/inspect/hex/1F439,HAMSTER FACE,hamster,,
U+1F43A,http://apps.timwhitlock.info/unicode/inspect/hex/1F43A,WOLF FACE,wolf,,
U+1F43B,http://apps.timwhitlock.info/unicode/inspect/hex/1F43B,BEAR FACE,bear,,
U+1F43C,http://apps.timwhitlock.info/unicode/inspect/hex/1F43C,PANDA FACE,panda,,
U+1F43D,http://apps.timwhitlock.info/unicode/inspect/hex/1F43D,PIG NOSE,pig,,
U+1F43E,http://apps.timwhitlock.info/unicode/inspect/hex/1F43E,PAW PRINTS,paw,,
U+1F440,http://apps.timwhitlock.info/unicode/inspect/hex/1F440,EYES,eyes,,
U+1F442,http://apps.timwhitlock.info/unicode/inspect/hex/1F442,EAR,ear,,
U+1F443,http://apps.timwhitlock.info/unicode/inspect/hex/1F443,NOSE,nose,,
U+1F444,http://apps.timwhitlock.info/unicode/inspect/hex/1F444,MOUTH,mouth,,
U+1F445,http://apps.timwhitlock.info/unicode/inspect/hex/1F445,TONGUE,tongue,,
U+1F446,http://apps.timwhitlock.info/unicode/inspect/hex/1F446,WHITE UP POINTING BACKHAND INDEX,,,
U+1F447,http://apps.timwhitlock.info/unicode/inspect/hex/1F447,WHITE DOWN POINTING BACKHAND INDEX,,,
U+1F448,http://apps.timwhitlock.info/unicode/inspect/hex/1F448,WHITE LEFT POINTING BACKHAND INDEX,,,
U+1F449,http://apps.timwhitlock.info/unicode/inspect/hex/1F449,WHITE RIGHT POINTING BACKHAND INDEX,,,
U+1F44A,http://apps.timwhitlock.info/unicode/inspect/hex/1F44A,FISTED HAND SIGN,,,
U+1F44B,http://apps.timwhitlock.info/unicode/inspect/hex/1F44B,WAVING HAND SIGN,,,
U+1F44C,http://apps.timwhitlock.info/unicode/inspect/hex/1F44C,OK HAND SIGN,ok,okay,
U+1F44D,http://apps.timwhitlock.info/unicode/inspect/hex/1F44D,THUMBS UP SIGN,,,
U+1F44E,http://apps.timwhitlock.info/unicode/inspect/hex/1F44E,THUMBS DOWN SIGN,,,
U+1F44F,http://apps.timwhitlock.info/unicode/inspect/hex/1F44F,CLAPPING HANDS SIGN,,,
U+1F450,http://apps.timwhitlock.info/unicode/inspect/hex/1F450,OPEN HANDS SIGN,,,
U+1F451,http://apps.timwhitlock.info/unicode/inspect/hex/1F451,CROWN,crown,,
U+1F452,http://apps.timwhitlock.info/unicode/inspect/hex/1F452,WOMANS HAT,,,
U+1F453,http://apps.timwhitlock.info/unicode/inspect/hex/1F453,EYEGLASSES,glasses,,
U+1F454,http://apps.timwhitlock.info/unicode/inspect/hex/1F454,NECKTIE,necktie,,
U+1F455,http://apps.timwhitlock.info/unicode/inspect/hex/1F455,T-SHIRT,,,
U+1F456,http://apps.timwhitlock.info/unicode/inspect/hex/1F456,JEANS,jeans,,
U+1F457,http://apps.timwhitlock.info/unicode/inspect/hex/1F457,DRESS,dress,,
U+1F458,http://apps.timwhitlock.info/unicode/inspect/hex/1F458,KIMONO,kimono,,
U+1F459,http://apps.timwhitlock.info/unicode/inspect/hex/1F459,BIKINI,bikini,,
U+1F45A,http://apps.timwhitlock.info/unicode/inspect/hex/1F45A,WOMANS CLOTHES,womans,,
U+1F45B,http://apps.timwhitlock.info/unicode/inspect/hex/1F45B,PURSE,purse,,
U+1F45C,http://apps.timwhitlock.info/unicode/inspect/hex/1F45C,HANDBAG,handbag,,
U+1F45D,http://apps.timwhitlock.info/unicode/inspect/hex/1F45D,POUCH,pouch,,
U+1F45E,http://apps.timwhitlock.info/unicode/inspect/hex/1F45E,MANS SHOE,,,
U+1F45F,http://apps.timwhitlock.info/unicode/inspect/hex/1F45F,ATHLETIC SHOE,,,
U+1F460,http://apps.timwhitlock.info/unicode/inspect/hex/1F460,HIGH-HEELED SHOE,heels,,
U+1F461,http://apps.timwhitlock.info/unicode/inspect/hex/1F461,WOMANS SANDAL,sandal,,
U+1F462,http://apps.timwhitlock.info/unicode/inspect/hex/1F462,WOMANS BOOTS,boots,,
U+1F463,http://apps.timwhitlock.info/unicode/inspect/hex/1F463,FOOTPRINTS,,,
U+1F464,http://apps.timwhitlock.info/unicode/inspect/hex/1F464,BUST IN SILHOUETTE,bust,,
U+1F466,http://apps.timwhitlock.info/unicode/inspect/hex/1F466,BOY,boy,,
U+1F467,http://apps.timwhitlock.info/unicode/inspect/hex/1F467,GIRL,girl,,
U+1F468,http://apps.timwhitlock.info/unicode/inspect/hex/1F468,MAN,man,,
U+1F469,http://apps.timwhitlock.info/unicode/inspect/hex/1F469,WOMAN,woman,,
U+1F46A,http://apps.timwhitlock.info/unicode/inspect/hex/1F46A,FAMILY,family,,
U+1F46B,http://apps.timwhitlock.info/unicode/inspect/hex/1F46B,MAN AND WOMAN HOLDING HANDS,,,
