unicode.text,unicode.href,discrption,,,
U+1F64E,http://apps.timwhitlock.info/unicode/inspect/hex/1F64E,PERSON WITH POUTING FACE,,,
U+1F64F,http://apps.timwhitlock.info/unicode/inspect/hex/1F64F,PERSON WITH FOLDED HANDS,,,
U+2702,http://apps.timwhitlock.info/unicode/inspect/hex/2702,BLACK SCISSORS,scissors,,
U+2705,http://apps.timwhitlock.info/unicode/inspect/hex/2705,WHITE HEAVY CHECK MARK,,,
U+2708,http://apps.timwhitlock.info/unicode/inspect/hex/2708,AIRPLANE,airplane,,
U+2709,http://apps.timwhitlock.info/unicode/inspect/hex/2709,ENVELOPE,envelope,,
U+270A,http://apps.timwhitlock.info/unicode/inspect/hex/270A,RAISED FIST,fist,,
U+270B,http://apps.timwhitlock.info/unicode/inspect/hex/270B,RAISED HAND,,,
U+270C,http://apps.timwhitlock.info/unicode/inspect/hex/270C,VICTORY HAND,pencil,,
U+270F,http://apps.timwhitlock.info/unicode/inspect/hex/270F,PENCIL,,,
U+2712,http://apps.timwhitlock.info/unicode/inspect/hex/2712,BLACK NIB,,,
U+2714,http://apps.timwhitlock.info/unicode/inspect/hex/2714,HEAVY CHECK MARK,,,
U+2716,http://apps.timwhitlock.info/unicode/inspect/hex/2716,HEAVY MULTIPLICATION X,,,
U+2728,http://apps.timwhitlock.info/unicode/inspect/hex/2728,SPARKLES,sparkles,,
U+2733,http://apps.timwhitlock.info/unicode/inspect/hex/2733,EIGHT SPOKED ASTERISK,,,
U+2734,http://apps.timwhitlock.info/unicode/inspect/hex/2734,EIGHT POINTED BLACK STAR,,,
U+2744,http://apps.timwhitlock.info/unicode/inspect/hex/2744,SNOWFLAKE,snowflake,,
U+2747,http://apps.timwhitlock.info/unicode/inspect/hex/2747,SPARKLE,,,
U+274C,http://apps.timwhitlock.info/unicode/inspect/hex/274C,CROSS MARK,,,
U+274E,http://apps.timwhitlock.info/unicode/inspect/hex/274E,NEGATIVE SQUARED CROSS MARK,,,
U+2753,http://apps.timwhitlock.info/unicode/inspect/hex/2753,BLACK QUESTION MARK ORNAMENT,,,
U+2754,http://apps.timwhitlock.info/unicode/inspect/hex/2754,WHITE QUESTION MARK ORNAMENT,,,
U+2755,http://apps.timwhitlock.info/unicode/inspect/hex/2755,WHITE EXCLAMATION MARK ORNAMENT,,,
U+2757,http://apps.timwhitlock.info/unicode/inspect/hex/2757,HEAVY EXCLAMATION MARK SYMBOL,,,
U+2764,http://apps.timwhitlock.info/unicode/inspect/hex/2764,HEAVY BLACK HEART,,,
U+2795,http://apps.timwhitlock.info/unicode/inspect/hex/2795,HEAVY PLUS SIGN,,,
U+2796,http://apps.timwhitlock.info/unicode/inspect/hex/2796,HEAVY MINUS SIGN,,,
U+2797,http://apps.timwhitlock.info/unicode/inspect/hex/2797,HEAVY DIVISION SIGN,,,
U+27A1,http://apps.timwhitlock.info/unicode/inspect/hex/27A1,BLACK RIGHTWARDS ARROW,,,
U+27B0,http://apps.timwhitlock.info/unicode/inspect/hex/27B0,CURLY LOOP,,,
U+1F680,http://apps.timwhitlock.info/unicode/inspect/hex/1F680,ROCKET,rocket,,
U+1F683,http://apps.timwhitlock.info/unicode/inspect/hex/1F683,RAILWAY CAR,train,,
U+1F684,http://apps.timwhitlock.info/unicode/inspect/hex/1F684,HIGH-SPEED TRAIN,,,
U+1F685,http://apps.timwhitlock.info/unicode/inspect/hex/1F685,HIGH-SPEED TRAIN WITH BULLET NOSE,,,
U+1F687,http://apps.timwhitlock.info/unicode/inspect/hex/1F687,METRO,,,
U+1F689,http://apps.timwhitlock.info/unicode/inspect/hex/1F689,STATION,,,
U+1F68C,http://apps.timwhitlock.info/unicode/inspect/hex/1F68C,BUS,bus,,
U+1F68F,http://apps.timwhitlock.info/unicode/inspect/hex/1F68F,BUS STOP,bus stop,,
U+1F691,http://apps.timwhitlock.info/unicode/inspect/hex/1F691,AMBULANCE,ambulance,,
U+1F692,http://apps.timwhitlock.info/unicode/inspect/hex/1F692,FIRE ENGINE,,,
U+1F693,http://apps.timwhitlock.info/unicode/inspect/hex/1F693,POLICE CAR,police,,
U+1F695,http://apps.timwhitlock.info/unicode/inspect/hex/1F695,TAXI,taxi,,
U+1F697,http://apps.timwhitlock.info/unicode/inspect/hex/1F697,AUTOMOBILE,car,,
U+1F699,http://apps.timwhitlock.info/unicode/inspect/hex/1F699,RECREATIONAL VEHICLE,,,
U+1F69A,http://apps.timwhitlock.info/unicode/inspect/hex/1F69A,DELIVERY TRUCK,truck,,
U+1F6A2,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A2,SHIP,ship,,
U+1F6A4,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A4,SPEEDBOAT,speedboat,,
U+1F6A5,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A5,HORIZONTAL TRAFFIC LIGHT,,,
U+1F6A7,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A7,CONSTRUCTION SIGN,construction,,
U+1F6A8,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A8,POLICE CARS REVOLVING LIGHT,,,
U+1F6A9,http://apps.timwhitlock.info/unicode/inspect/hex/1F6A9,TRIANGULAR FLAG ON POST,,,
U+1F6AA,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AA,DOOR,door,,
U+1F6AB,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AB,NO ENTRY SIGN,stop,,
U+1F6AC,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AC,SMOKING SYMBOL,smoking,,
U+1F6AD,http://apps.timwhitlock.info/unicode/inspect/hex/1F6AD,NO SMOKING SYMBOL,,,
U+1F6B2,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B2,BICYCLE,bicycle,,
U+1F6B6,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B6,PEDESTRIAN,pedestrian,,
U+1F6B9,http://apps.timwhitlock.info/unicode/inspect/hex/1F6B9,MENS SYMBOL,men,man,
U+1F6BA,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BA,WOMENS SYMBOL,woman,women,
U+1F6BB,http://apps.timwhitlock.info/unicode/inspect/hex/1F6BB,RESTROOM,restroom,,
